timestamp,equity,position
2022-03-11 16:04:31.275243290,1.0,0.25
2022-03-11 16:30:31.592812598,1.0002963320264422,0.25
2022-03-11 16:58:39.500587374,1.0003253722935492,0.25
2022-03-11 17:37:58.004447050,1.0005727785423308,0.25
2022-03-11 18:05:04.594546951,1.0005229494700778,0.25
2022-03-11 18:38:10.045581914,1.0012084572167133,0.25
2022-03-11 19:02:48.796711907,1.0015681001103687,0.25
2022-03-11 19:21:40.088909902,1.0008204860894836,0.25
2022-03-11 19:43:52.114389859,1.0007994623755645,0.25
2022-03-11 20:00:47.808004715,1.0012927515771106,0.25
2022-03-11 20:40:08.968124017,1.0005719786914096,0.25
2022-03-11 21:02:24.530889556,1.000866905973793,0.25
2022-03-11 21:31:24.812506959,1.0009844890976267,0.25
2022-03-11 22:00:07.104950868,1.0013334358607786,0.25
2022-03-11 22:31:11.951273836,1.0005319997125834,0.1
2022-03-11 22:56:59.508615233,1.0005726523336322,0.1
2022-03-11 23:19:48.278523356,1.00032961164599,0.1
2022-03-11 23:40:05.555974051,1.0003563608745385,0.1
2022-03-12 00:12:33.632097505,1.0002604400681694,0.05
2022-03-12 00:41:01.377910137,1.000168073349281,-0.05
2022-03-12 01:11:10.592862204,1.0002029574198854,-0.05
2022-03-12 01:36:55.154035486,0.9999423990351767,-0.0
2022-03-12 02:05:30.937955119,0.9999273998991912,-0.0
2022-03-12 02:34:00.770291172,0.9999273998991912,-0.0
2022-03-12 02:54:35.049179815,0.9999273998991912,0.05
2022-03-12 03:09:08.731264777,0.9999268664881306,0.05
2022-03-12 03:45:15.687731020,0.9998311954443482,0.05
2022-03-12 04:15:03.274399392,0.9998108185973691,0.05
2022-03-12 04:38:40.063966207,0.9997409849800273,-0.05
2022-03-12 05:09:14.070719279,0.9997135023686067,-0.05
2022-03-12 05:28:40.644229770,0.9997681613045781,-0.05
2022-03-12 05:51:58.101606287,0.999645761091512,-0.05
2022-03-12 06:17:19.363968655,0.9993915390919571,0.1
2022-03-12 06:45:15.151622824,0.9992314466765897,0.1
2022-03-12 07:06:36.659261607,0.9994108897941264,0.1
2022-03-12 07:30:13.015993752,0.9992318127527475,0.1
2022-03-12 07:47:25.733831622,0.9994797704221994,0.1
2022-03-12 07:53:01.442317046,0.9994906220199473,0.1
2022-03-12 08:11:54.390613981,1.0000143858070853,0.35000000000000003
2022-03-12 08:34:36.342382044,1.0006289239314348,0.35000000000000003
2022-03-12 08:59:41.671887815,1.0008730129242869,0.35000000000000003
2022-03-12 09:21:56.228273585,1.0013460797208582,0.35000000000000003
2022-03-12 09:46:18.887544177,1.0017014181265513,0.35000000000000003
2022-03-12 10:14:31.378990322,1.001455282554916,0.35000000000000003
2022-03-12 10:27:25.170682900,1.001132306532993,0.35000000000000003
2022-03-12 10:47:39.072728835,1.0010581959481433,0.35000000000000003
2022-03-12 10:58:52.230931714,1.0005583752391003,0.35000000000000003
2022-03-12 11:13:25.002951756,0.9999501494954673,0.1
2022-03-12 11:30:11.423342720,0.9995941001979658,0.0
2022-03-12 11:49:35.265605569,0.9995641123749599,0.0
2022-03-12 12:04:22.701525047,0.9995641123749599,-0.1
2022-03-12 12:26:14.925478764,0.9992949603435495,-0.1
2022-03-12 12:48:10.465187967,0.9993220199409157,-0.1
2022-03-12 13:07:38.553558372,0.9992439640053753,-0.1
2022-03-12 13:28:25.544918597,0.9993195252269554,-0.1
2022-03-12 13:55:46.354576260,0.9993455369262839,-0.1
2022-03-12 14:28:22.915542081,0.9993960247143511,-0.1
2022-03-12 14:51:31.331070118,0.9994875202622718,-0.1
2022-03-12 15:20:20.343887486,0.9993628246531551,-0.1
2022-03-12 15:48:01.372156486,0.9991644323374138,-0.1
2022-03-12 16:12:46.988917150,0.9994009392560466,-0.1
2022-03-12 16:40:41.233744912,0.9997236468403766,-0.25
2022-03-12 17:10:54.010210976,0.9993665326544877,-0.25
2022-03-12 17:41:21.451980002,0.9983111499186007,-0.2
2022-03-12 17:56:49.704569176,0.9979813716954681,-0.2
2022-03-12 18:25:58.444655962,0.9984439709867006,-0.2
2022-03-12 19:02:10.853620686,0.9986477109133246,-0.2
2022-03-12 19:39:56.180384055,0.9989698001026401,-0.1
2022-03-12 20:08:20.814823143,0.999151282757821,-0.1
2022-03-12 20:28:41.645288162,0.9992156748682691,-0.1
2022-03-12 20:53:35.345051579,0.9989994311527,-0.1
2022-03-12 21:27:25.475616150,0.9990535326007931,-0.1
2022-03-12 21:53:51.942457303,0.9990178606927149,-0.1
2022-03-12 22:24:23.728601135,0.9991095306586933,-0.1
2022-03-12 22:59:48.785589755,0.9990017785865951,-0.1
2022-03-12 23:18:45.452398315,0.9992910060412522,-0.15000000000000002
2022-03-12 23:42:58.334466234,0.9993927527571433,-0.15000000000000002
2022-03-13 00:16:30.774073355,0.9991716405492674,-0.05
2022-03-13 00:36:01.680492632,0.9991493774284507,-0.05
2022-03-13 00:53:10.270482935,0.9989758586465002,-0.15000000000000002
2022-03-13 01:18:22.073740982,0.9989138411949416,-0.15000000000000002
2022-03-13 01:52:19.709837638,0.9989275146185342,-0.15000000000000002
2022-03-13 02:06:15.930642724,0.9988865821464595,-0.15000000000000002
2022-03-13 02:29:10.308758870,0.9988032290860329,-0.15000000000000002
2022-03-13 03:01:49.261939949,0.9984618937641893,0.0
2022-03-13 03:32:02.202897184,0.9984169629789699,0.0
2022-03-13 04:01:00.059065506,0.9984169629789699,0.0
2022-03-13 04:38:25.554783791,0.9984169629789699,0.05
2022-03-13 05:03:18.673369266,0.9984059382852314,0.05
2022-03-13 05:28:31.587715097,0.998317351787997,0.0
2022-03-13 06:06:21.879299887,0.9983023770277202,0.0
2022-03-13 06:19:21.890425310,0.9983023770277202,0.0
2022-03-13 06:33:51.024387307,0.9983023770277202,0.0
2022-03-13 06:53:57.591232546,0.9983023770277202,0.0
2022-03-13 07:11:37.198977292,0.9983023770277202,0.0
2022-03-13 07:36:44.823752262,0.9983023770277202,-0.05
