,neg_log_loss,nll_std,accuracy,acc_std
kfold_no_purge,-0.6456328056655982,0.0029599017892719347,0.6444144449169565,0.005477340977403277
purged,-0.6456016294439506,0.00324209887854972,0.6444144449169565,0.005477340977403277
purged_embargo_0.01,-0.645731868609432,0.0031039262458735692,0.6444144449169565,0.005477340977403277
