d,adf_stat,p_value,crit_95,corr_with_original,n_obs
0.0,-1.8790391055112678,0.3419851059594417,-2.8615979979327153,1.0,49838
0.05,-2.4947847576459448,0.1167484117528958,-2.8616020255552965,0.9981227153118766,46602
0.1,-3.5879947658844324,0.00599473359314304,-2.861603162792407,0.989626726086195,45763
0.15000000000000002,-4.9949105405116345,2.2713675907658562e-05,-2.8616029221567114,0.9739907516844062,45938
0.2,-7.207318650381431,2.2822757591164785e-10,-2.8616022191617807,0.9516617331893255,46457
0.25,-10.135690583652076,8.681844096318759e-18,-2.8616014545115136,0.9223628632217638,47035
0.30000000000000004,-14.055000145145227,3.128666812427212e-26,-2.8616007709734315,0.8853765142943026,47564
0.35000000000000003,-19.11368551794426,0.0,-2.8616002026245133,0.8399518095620356,48013
0.4,-25.24092145401907,0.0,-2.861599744672987,0.7851585010248819,48381
0.45,-32.62975151943439,0.0,-2.861599382565719,0.7202325131212366,48676
0.5,-41.197042699730005,0.0,-2.861599096025024,0.6466243934589558,48912
0.55,-50.798603950026106,0.0,-2.861598870934152,0.5661676571287854,49099
0.6000000000000001,-61.53367606311506,0.0,-2.8615986916155562,0.4828383399177916,49249
0.65,-72.84878046949638,0.0,-2.861598548945292,0.4006486911928675,49369
0.7000000000000001,-84.25271587352879,0.0,-2.8615984329447537,0.3242701380892391,49467
0.75,-95.63208885388875,0.0,-2.8615983397682,0.2555115888041592,49546
0.8,-106.67028030953087,0.0,-2.861598263326487,0.1957609838553028,49611
0.8500000000000001,-117.17349721669007,0.0,-2.8615981988013277,0.1450298808353274,49666
0.9,-127.24606841284792,0.0,-2.8615981426051413,0.10169974965174225,49714
0.9500000000000001,-136.8158101472321,0.0,-2.861598088852205,0.0631579766401581,49760
1.0,-145.8983235882795,0.0,-2.8615979990965488,0.006105511025052939,49837
