timestamp,bet_return
2022-03-12 01:36:55.154035486,-0.00022563639064043794
2022-03-12 04:38:40.063966207,-0.000201425657461618
2022-03-12 06:17:19.363968655,-0.00034953642325386003
2022-03-12 11:30:11.423342720,0.00020268443156190585
2022-03-13 03:01:49.261939949,-0.0011326661827558704
2022-03-13 05:28:31.587715097,-0.00014476463958712493
2022-03-13 09:10:48.207877621,-0.0003640185882740621
2022-03-13 10:48:49.129064158,-0.00024391861865047382
2022-03-14 20:16:54.110917822,0.004516935014679868
2022-03-15 13:01:18.848666444,-0.0004853264744996144
2022-03-15 16:27:17.158061713,-0.0008177068026062884
2022-03-15 17:39:11.898802392,-0.00035897179009392044
2022-03-15 22:24:33.241830006,-0.00027685840196778333
2022-03-16 01:36:05.534785591,-0.0003327050110143448
2022-03-16 03:28:45.564636081,-0.0013364899232539695
2022-03-16 13:31:42.647149414,-0.0007032819761506603
2022-03-16 22:20:26.328480721,-0.0001323202219962738
2022-03-17 01:10:18.600281097,0.00027358761221285555
2022-03-17 09:34:24.480931215,0.00042961181253797776
2022-03-17 16:59:26.407589778,-0.0005597339608085505
2022-03-18 09:39:15.360687405,0.002592916856805516
2022-03-18 14:27:13.836141244,-0.000995544560392303
2022-03-19 03:54:55.006838597,-0.0003671818953591144
2022-03-19 12:29:30.029663317,0.0012357281266848208
2022-03-19 18:50:30.447385035,-0.00015055829754828665
2022-03-19 22:23:39.470710590,-0.00019168147861037266
2022-03-20 08:58:35.792108320,0.001364242220711187
2022-03-21 01:43:59.547481462,0.0007541177270722343
2022-03-23 04:47:57.279438250,0.00433563741852816
2022-03-23 17:31:03.763614126,0.007256877546143459
2022-03-24 01:52:38.192627050,0.0005812651448862116
2022-03-24 05:09:28.978480227,-0.0005255682860553224
2022-03-24 19:31:42.434075050,-0.0003955854051852503
2022-03-24 23:26:20.169810876,-4.5155312814348925e-05
2022-03-25 08:47:12.116662271,-0.0003985754089600446
2022-03-25 14:49:42.128980234,-0.0009206721737919921
2022-03-26 02:45:02.400552563,-5.7568263235441286e-05
2022-03-26 11:41:25.962804228,-0.000570433983136498
2022-03-26 15:11:12.919767946,-0.0010162057527489665
2022-03-26 21:05:10.754944712,-0.00012675807283102358
2022-03-27 09:12:42.016446687,4.8299565883702655e-05
2022-03-27 11:30:55.299697816,-0.00011519093923550994
2022-03-27 15:40:16.731925964,-0.00026558698008494197
2022-03-27 22:00:30.196716599,-0.00012718627802621452
2022-03-27 22:59:26.847691938,-6.0309970607574925e-05
2022-03-28 01:56:16.229885042,-3.576091938684023e-06
2022-03-28 04:39:38.890606157,7.200766342374543e-05
2022-03-28 08:18:38.693914026,-0.0013789809578231838
2022-03-28 09:55:13.347869024,-0.0013432164520514878
2022-03-28 14:52:04.984429896,-0.0012125069982416026
2022-03-28 16:01:12.621958219,-0.0002143705539666696
2022-03-28 18:36:41.251779333,-0.0002443305521911965
2022-03-29 07:51:07.071287923,0.00010613603594133991
2022-03-29 10:41:58.856909126,-0.00020026362542158171
2022-03-29 15:00:15.981814548,-0.0001791458090607545
2022-03-29 22:04:47.241917305,-2.7426343790382113e-05
2022-03-30 02:05:44.235844687,0.00020558906619339012
2022-03-30 17:05:54.684075542,-5.448844824229582e-05
2022-03-30 22:07:43.039550550,0.00020121930826100254
2022-03-31 22:20:29.484632328,0.001100049426566052
2022-04-01 00:04:45.206064738,5.157564158198014e-06
